G,MD,W,AI,S,P,os,Company,Touchscreen,Cpu_brand,Ram,Gpu_brand
1,1,1,1,0,4.777,2,11,0,3,16,2
1,1,0,1,1,1.341,0,10,0,2,8,2
1,1,1,1,0,2.709,2,7,0,3,16,2
1,1,0,0,1,0.961,2,0,0,0,4,0
0,0,0,0,1,0.552,0,7,0,4,4,1
1,0,0,1,1,1.731,2,7,0,2,8,1
1,1,0,0,1,0.592,2,2,0,0,4,0
1,1,1,1,0,2.975,2,4,0,3,16,0
1,0,0,1,1,1.978,2,7,0,2,8,1
1,1,0,1,1,1.362,2,4,0,2,8,0
1,1,0,0,1,0.957,2,4,0,1,4,0
1,1,0,1,0,1.884,2,0,0,3,8,1
1,1,0,0,1,1.219,2,0,0,1,4,2
1,1,0,1,0,1.274,2,7,0,3,8,1
1,1,0,1,0,2.106,2,7,0,3,8,1
0,0,0,0,1,0.538,0,10,0,4,4,1
1,1,0,1,1,1.999,2,2,0,2,8,2
1,1,0,1,1,1.063,0,10,0,2,4,2
1,0,0,1,1,1.49,2,7,0,2,4,1
1,1,0,0,1,1.396,2,0,0,1,4,2
1,1,0,1,1,2.378,2,10,0,2,8,0
1,1,0,1,0,1.852,0,10,0,3,8,2
1,0,0,1,1,1.283,2,16,0,2,4,1
1,1,0,0,1,0.786,2,7,0,0,4,0
1,1,0,1,0,2.342,2,2,0,3,8,1
0,0,0,0,1,4.292,2,7,1,4,8,1
0,0,0,0,1,0.733,2,2,0,4,4,1
1,1,1,1,0,4.324,2,11,0,3,16,2
0,0,0,0,1,0.953,2,0,0,1,4,1
1,1,1,1,0,2.662,2,4,0,3,16,2
1,1,0,1,0,1.916,2,4,0,3,8,2
1,0,0,1,1,1.061,2,10,0,2,4,1
1,1,1,1,0,4.028,2,11,0,3,16,2
1,0,0,1,1,2.306,2,7,0,2,4,1
1,1,0,1,1,1.319,2,7,0,2,6,0
0,0,0,0,1,1.341,2,10,1,1,4,1
1,0,0,1,1,2.803,2,2,1,2,8,1
1,1,0,1,0,2.236,2,4,1,3,8,1
0,0,0,0,1,0.953,2,16,0,1,4,1
1,1,0,0,1,0.859,2,2,0,0,4,0
1,1,0,1,1,1.716,2,0,0,2,4,2
1,1,0,1,1,1.552,2,4,0,2,8,0
1,1,1,1,0,2.3,2,10,0,3,16,2
0,0,0,0,1,0.742,2,0,0,4,4,1
1,1,1,1,0,3.834,2,11,0,3,16,2
0,0,0,0,1,0.775,2,0,0,4,4,1
1,1,0,1,0,2.26,2,4,0,3,8,2
1,1,0,1,1,1.82,2,0,0,2,8,2
1,0,0,1,1,1.607,2,7,0,2,4,1
1,0,0,1,1,2.875,2,8,0,2,8,1
1,1,0,1,1,1.49,2,7,0,2,6,0
1,1,0,0,1,0.659,0,10,0,0,4,0
0,0,0,0,1,1.042,2,16,0,1,4,1
1,1,0,1,1,1.967,2,7,0,2,8,2
0,0,0,0,1,0.978,2,4,0,1,8,1
0,0,0,0,1,0.957,2,0,0,1,4,1
1,1,1,1,0,5.965,2,11,0,3,32,2
1,1,0,1,1,1.733,2,10,0,2,8,0
1,0,0,1,1,3.195,2,7,1,2,8,1
1,1,1,1,0,2.236,0,4,0,3,16,0
1,0,0,1,1,2.982,2,4,0,2,8,1
1,1,1,1,0,3.941,2,10,1,3,16,1
1,0,0,1,1,1.69,2,16,0,2,8,1
1,1,0,1,1,2.555,0,18,0,2,8,2
1,1,1,1,0,3.301,2,4,1,3,16,2
1,1,1,1,0,5.108,2,4,1,3,16,2
1,1,0,1,1,1.66,0,10,0,2,8,2
1,0,0,1,1,2.108,2,0,0,2,8,1
1,1,0,1,0,2.312,2,4,0,3,8,0
1,1,1,1,0,6.019,2,10,1,3,16,1
0,0,0,0,1,0.554,2,17,0,4,4,1
1,1,0,1,1,2.131,0,18,0,2,8,2
1,1,0,1,1,1.488,0,10,0,2,8,2
1,1,0,1,0,1.788,2,4,1,3,8,1
1,1,0,1,1,1.948,2,7,0,2,8,2
1,1,1,1,0,12.998,2,14,1,3,32,2
1,0,0,1,1,2.044,2,7,0,2,8,1
1,1,1,1,0,2.939,2,7,0,3,16,2
1,1,0,1,0,2.227,2,7,0,3,8,2
1,1,1,1,0,3.932,2,4,0,3,16,2
1,0,0,1,1,1.051,2,10,0,2,4,1
1,1,0,1,0,1.581,2,0,0,3,8,2
1,1,1,1,0,3.727,2,10,0,3,16,2
1,1,1,0,1,6.511,2,4,0,4,16,2
1,1,1,1,0,2.979,0,10,0,3,16,2
0,0,0,0,1,0.936,2,4,1,1,6,1
1,1,0,1,0,4.154,2,4,1,3,8,1
1,1,0,1,0,3.088,2,4,0,3,8,1
1,0,0,1,1,1.272,2,10,0,2,8,1
1,1,0,1,0,1.66,0,0,0,3,8,2
1,1,1,1,0,2.999,2,2,0,3,16,2
0,0,0,0,1,0.744,0,7,0,1,4,1
1,0,0,1,1,1.17,0,10,0,2,8,1
1,1,0,1,0,3.195,2,8,0,3,8,1
1,1,0,1,0,1.986,2,4,0,3,8,0
1,1,0,1,1,1.255,0,10,0,2,8,2
1,1,0,1,0,2.197,2,7,0,3,8,2
1,0,0,1,1,2.449,2,4,0,2,8,1
1,1,1,1,0,2.726,2,4,1,3,16,1
1,1,0,1,1,1.444,0,4,0,2,8,0
1,0,0,1,1,1.916,2,10,0,2,8,1
1,1,0,1,0,2.905,2,16,0,3,8,1
1,0,0,1,1,1.692,2,7,0,2,8,1
1,1,1,1,0,5.235,2,4,0,3,16,2
1,1,0,1,0,1.773,2,0,0,3,8,2
1,1,1,1,0,1.831,2,4,1,3,16,0
1,1,0,1,1,1.639,2,2,0,2,8,2
1,1,0,1,1,1.899,2,2,0,2,8,2
1,1,0,1,0,2.704,2,7,0,3,8,0
0,0,0,0,1,0.85,2,2,0,1,4,1
1,1,0,0,1,0.703,2,7,0,0,4,0
1,1,1,1,0,3.195,2,10,0,3,16,2
1,0,0,1,1,1.831,2,4,0,2,8,1
1,0,0,1,1,1.468,2,0,1,2,8,1
1,1,1,1,0,1.916,0,4,0,3,16,0
0,0,0,0,1,0.831,0,0,0,1,4,1
1,1,0,0,1,1.225,2,2,0,0,4,0
1,1,1,1,0,8.29,2,2,0,3,32,2
